UID,State,County,Population
84008047,Colorado,Gilpin County,6243
84008049,Colorado,Grand County,15734
84008051,Colorado,Gunnison County,17462
84008053,Colorado,Hinsdale County,820
84008055,Colorado,Huerfano County,6897
84008057,Colorado,Jackson County,1392
84008059,Colorado,Jefferson County,582881
84008061,Colorado,Kiowa County,1406
84008063,Colorado,Kit Carson County,7097
84008065,Colorado,Lake County,8127
84008067,Colorado,La Plata County,56221
84008069,Colorado,Larimer County,356899
84008071,Colorado,Las Animas County,14506
84008073,Colorado,Lincoln County,5701
84008075,Colorado,Logan County,22409
84008077,Colorado,Mesa County,154210
84008079,Colorado,Mineral County,769
84008081,Colorado,Moffat County,13283
84008083,Colorado,Montezuma County,26183
84008085,Colorado,Montrose County,42758
84008087,Colorado,Morgan County,29068
84008089,Colorado,Otero County,18278
84008091,Colorado,Ouray County,4952
84008093,Colorado,Park County,18845
84008095,Colorado,Phillips County,4265
84008097,Colorado,Pitkin County,17767
84008099,Colorado,Prowers County,12172
84008101,Colorado,Pueblo County,168424
84008103,Colorado,Rio Blanco County,6324
84008105,Colorado,Rio Grande County,11267
84008107,Colorado,Routt County,25638
84008109,Colorado,Saguache County,6824
84008111,Colorado,San Juan County,728
84008113,Colorado,San Miguel County,8179
84008115,Colorado,Sedgwick County,2248
84008117,Colorado,Summit County,31011
84008119,Colorado,Teller County,25388
84008121,Colorado,Washington County,4908
84008123,Colorado,Weld County,324492
84008125,Colorado,Yuma County,10019
84009001,Connecticut,Fairfield County,943332
84009003,Connecticut,Hartford County,891720
84009005,Connecticut,Litchfield County,180333
84009007,Connecticut,Middlesex County,162436
84009009,Connecticut,New Haven County,854757
84009011,Connecticut,New London County,265206
84009013,Connecticut,Tolland County,150721
84009015,Connecticut,Windham County,116782
84010001,Delaware,Kent County,180786
84010003,Delaware,New Castle County,558753
84010005,Delaware,Sussex County,234225
84011001,District of Columbia,District of Columbia,705749
84012001,Florida,Alachua County,269043
84012003,Florida,Baker County,29210
84012005,Florida,Bay County,174705
84012007,Florida,Bradford County,28201
84012009,Florida,Brevard County,601942
84012011,Florida,Broward County,1952778
84012013,Florida,Calhoun County,14105
84012015,Florida,Charlotte County,188910
84012017,Florida,Citrus County,149657
84012019,Florida,Clay County,219252
84012021,Florida,Collier County,384902
84012023,Florida,Columbia County,71686
84012027,Florida,DeSoto County,38001
84012029,Florida,Dixie County,16826
84012031,Florida,Duval County,957755
84012033,Florida,Escambia County,318316
84012035,Florida,Flagler County,115081
84012037,Florida,Franklin County,12125
84012039,Florida,Gadsden County,45660
84012041,Florida,Gilchrist County,18582
84012043,Florida,Glades County,13811
84012045,Florida,Gulf County,13639
84012047,Florida,Hamilton County,14428
84012049,Florida,Hardee County,26937
84012051,Florida,Hendry County,42022
84012053,Florida,Hernando County,193920
84012055,Florida,Highlands County,106221
84012057,Florida,Hillsborough County,1471968
84012059,Florida,Holmes County,19617
84012061,Florida,Indian River County,159923
84012063,Florida,Jackson County,46414
84012065,Florida,Jefferson County,14246
84012067,Florida,Lafayette County,8422
84012069,Florida,Lake County,367118
84012071,Florida,Lee County,770577
84012073,Florida,Leon County,293582
84012075,Florida,Levy County,41503
84012077,Florida,Liberty County,8354
84012079,Florida,Madison County,18493
84012081,Florida,Manatee County,403253
84012083,Florida,Marion County,365579
84012085,Florida,Martin County,161000
84012086,Florida,Miami-Dade County,2716940
84012087,Florida,Monroe County,74228
84012089,Florida,Nassau County,88625
84012091,Florida,Okaloosa County,210738
84012093,Florida,Okeechobee County,42168
84012095,Florida,Orange County,1393452
84012097,Florida,Osceola County,375751
84012099,Florida,Palm Beach County,1496770
84012101,Florida,Pasco County,553947
84012103,Florida,Pinellas County,974996
84012105,Florida,Polk County,724777
84012107,Florida,Putnam County,74521
84012109,Florida,St. Johns County,264672
84012111,Florida,St. Lucie County,328297
84012113,Florida,Santa Rosa County,184313
84012115,Florida,Sarasota County,433742
84012117,Florida,Seminole County,471826
84012119,Florida,Sumter County,132420
84012121,Florida,Suwannee County,44417
84012123,Florida,Taylor County,21569
84012125,Florida,Union County,15237
84012127,Florida,Volusia County,553284
84012129,Florida,Wakulla County,33739
84012131,Florida,Walton County,74071
84012133,Florida,Washington County,25473
84013001,Georgia,Appling County,18386
84013003,Georgia,Atkinson County,8165
84013005,Georgia,Bacon County,11164
84013007,Georgia,Baker County,3038
84013009,Georgia,Baldwin County,44890
84013011,Georgia,Banks County,19234
84013013,Georgia,Barrow County,83240
84013015,Georgia,Bartow County,107738
84013017,Georgia,Ben Hill County,16700
84013019,Georgia,Berrien County,19397
84013021,Georgia,Bibb County,153159
84013023,Georgia,Bleckley County,12873
84013025,Georgia,Brantley County,19109
84013027,Georgia,Brooks County,15457
84013029,Georgia,Bryan County,39627
84013031,Georgia,Bulloch County,79608
84013033,Georgia,Burke County,22383
84013035,Georgia,Butts County,24936
84013037,Georgia,Calhoun County,6189
84013039,Georgia,Camden County,54666
84013043,Georgia,Candler County,10803
84013045,Georgia,Carroll County,119992
84013047,Georgia,Catoosa County,67580
84013049,Georgia,Charlton County,13392
84013051,Georgia,Chatham County,289430
84013053,Georgia,Chattahoochee County,10907
84013055,Georgia,Chattooga County,24789
84013057,Georgia,Cherokee County,258773
84013059,Georgia,Clarke County,128331
84013061,Georgia,Clay County,2834
84013063,Georgia,Clayton County,292256
84013065,Georgia,Clinch County,6618
84013067,Georgia,Cobb County,760141
84013069,Georgia,Coffee County,43273
84013071,Georgia,Colquitt County,45600
84013073,Georgia,Columbia County,156714
84013075,Georgia,Cook County,17270
84013077,Georgia,Coweta County,148509
84013079,Georgia,Crawford County,12404
84013081,Georgia,Crisp County,22372
84013083,Georgia,Dade County,16116
84013085,Georgia,Dawson County,26108
84013087,Georgia,Decatur County,26404
84013089,Georgia,DeKalb County,759297
84013091,Georgia,Dodge County,20605
84013093,Georgia,Dooly County,13390
84013095,Georgia,Dougherty County,87956
84013097,Georgia,Douglas County,146343
84013099,Georgia,Early County,10190
84013101,Georgia,Echols County,4006
84013103,Georgia,Effingham County,64296
84013105,Georgia,Elbert County,19194
84013107,Georgia,Emanuel County,22646
84013109,Georgia,Evans County,10654
84013111,Georgia,Fannin County,26188
84013113,Georgia,Fayette County,114421
84013115,Georgia,Floyd County,98498
84013117,Georgia,Forsyth County,244252
84013119,Georgia,Franklin County,23349
84013121,Georgia,Fulton County,1063937
84013123,Georgia,Gilmer County,31369
84013125,Georgia,Glascock County,2971
84013127,Georgia,Glynn County,85292
84013129,Georgia,Gordon County,57963
84013131,Georgia,Grady County,24633
84013133,Georgia,Greene County,18324
84013135,Georgia,Gwinnett County,936250
84013137,Georgia,Habersham County,45328
84013139,Georgia,Hall County,204441
84013141,Georgia,Hancock County,8457
84013143,Georgia,Haralson County,29792
84013145,Georgia,Harris County,35236
84013147,Georgia,Hart County,26205
84013149,Georgia,Heard County,11923
84013151,Georgia,Henry County,234561
84013153,Georgia,Houston County,157863
84013155,Georgia,Irwin County,9416
84013157,Georgia,Jackson County,72977
84013159,Georgia,Jasper County,14219
84013161,Georgia,Jeff Davis County,15115
84013163,Georgia,Jefferson County,15362
84013165,Georgia,Jenkins County,8676
84013167,Georgia,Johnson County,9643
84013169,Georgia,Jones County,28735
84013171,Georgia,Lamar County,19077
84013173,Georgia,Lanier County,10423
84013175,Georgia,Laurens County,47546
84013177,Georgia,Lee County,29992
84013179,Georgia,Liberty County,61435
84013181,Georgia,Lincoln County,7921
84013183,Georgia,Long County,19559
84013185,Georgia,Lowndes County,117406
84013187,Georgia,Lumpkin County,33610
84013189,Georgia,McDuffie County,21312
84013191,Georgia,McIntosh County,14378
84013193,Georgia,Macon County,12947
84013195,Georgia,Madison County,29880
84013197,Georgia,Marion County,8359
84013199,Georgia,Meriwether County,21167
84013201,Georgia,Miller County,5718
84013205,Georgia,Mitchell County,21863
84013207,Georgia,Monroe County,27578
84013209,Georgia,Montgomery County,9172
84013211,Georgia,Morgan County,19276
84013213,Georgia,Murray County,40096
84013215,Georgia,Muscogee County,195769
84013217,Georgia,Newton County,111744
84013219,Georgia,Oconee County,40280
84013221,Georgia,Oglethorpe County,15259
84013223,Georgia,Paulding County,168667
84013225,Georgia,Peach County,27546
84013227,Georgia,Pickens County,32591
84013229,Georgia,Pierce County,19465
84013231,Georgia,Pike County,18962
84013233,Georgia,Polk County,42613
84013235,Georgia,Pulaski County,11137
84013237,Georgia,Putnam County,22119
84013239,Georgia,Quitman County,2299
84013241,Georgia,Rabun County,17137
84013243,Georgia,Randolph County,6778
84013245,Georgia,Richmond County,202518
84013247,Georgia,Rockdale County,90896
84013249,Georgia,Schley County,5257
84013251,Georgia,Screven County,13966
84013253,Georgia,Seminole County,8090
84013255,Georgia,Spalding County,66703
84013257,Georgia,Stephens County,25925
84013259,Georgia,Stewart County,6621
84013261,Georgia,Sumter County,29524
84013263,Georgia,Talbot County,6195
84013265,Georgia,Taliaferro County,1537
84013267,Georgia,Tattnall County,25286
84013269,Georgia,Taylor County,8020
84013271,Georgia,Telfair County,15860
84013273,Georgia,Terrell County,8531
84013275,Georgia,Thomas County,44451
84013277,Georgia,Tift County,40644
84013279,Georgia,Toombs County,26830
84013281,Georgia,Towns County,12037
84013283,Georgia,Treutlen County,6901
84013285,Georgia,Troup County,69922
84013287,Georgia,Turner County,7985
84013289,Georgia,Twiggs County,8120
84013291,Georgia,Union County,24511
84013293,Georgia,Upson County,26320
84013295,Georgia,Walker County,69761
84013297,Georgia,Walton County,94593
84013299,Georgia,Ware County,35734
84013301,Georgia,Warren County,5254
84013303,Georgia,Washington County,20374
84013305,Georgia,Wayne County,29927
84013307,Georgia,Webster County,2607
84013309,Georgia,Wheeler County,7855
84013311,Georgia,White County,30798
84013313,Georgia,Whitfield County,104628
84013315,Georgia,Wilcox County,8635
84013317,Georgia,Wilkes County,9777
84013319,Georgia,Wilkinson County,8954
84013321,Georgia,Worth County,20247
84015001,Hawaii,Hawaii County,201513
84015003,Hawaii,Honolulu County,974563
84015005,Hawaii,Kalawao County,86
84015007,Hawaii,Kauai County,72293
84015009,Hawaii,Maui County,167417
84016001,Idaho,Ada County,481587
84016003,Idaho,Adams County,4294
84016005,Idaho,Bannock County,87808
84016007,Idaho,Bear Lake County,6125
84016009,Idaho,Benewah County,9298
84016011,Idaho,Bingham County,46811
84016013,Idaho,Blaine County,23021
84016015,Idaho,Boise County,7831
84016017,Idaho,Bonner County,45739
84016019,Idaho,Bonneville County,119062
84016021,Idaho,Boundary County,12245
84016023,Idaho,Butte County,2597
84016025,Idaho,Camas County,1106
84016027,Idaho,Canyon County,229849
84016029,Idaho,Caribou County,7155
84016031,Idaho,Cassia County,24030
84016033,Idaho,Clark County,845
84016035,Idaho,Clearwater County,8756
84016037,Idaho,Custer County,4315
84016039,Idaho,Elmore County,27511
84016041,Idaho,Franklin County,13876
84016043,Idaho,Fremont County,13099
84016045,Idaho,Gem County,18112
84016047,Idaho,Gooding County,15179
84016049,Idaho,Idaho County,16667
84016051,Idaho,Jefferson County,29871
84016053,Idaho,Jerome County,24412
84016055,Idaho,Kootenai County,165697
84016057,Idaho,Latah County,40108
84016059,Idaho,Lemhi County,8027
84016061,Idaho,Lewis County,3838
84016063,Idaho,Lincoln County,5366
84016065,Idaho,Madison County,39907
84016067,Idaho,Minidoka County,21039
84016069,Idaho,Nez Perce County,40408
84016071,Idaho,Oneida County,4531
84016073,Idaho,Owyhee County,11823
84016075,Idaho,Payette County,23951
84016077,Idaho,Power County,7681
84016079,Idaho,Shoshone County,12882
84016081,Idaho,Teton County,12142
84016083,Idaho,Twin Falls County,86878
84016085,Idaho,Valley County,11392
84016087,Idaho,Washington County,10194
84017001,Illinois,Adams County,65435
84017003,Illinois,Alexander County,5761
84017005,Illinois,Bond County,16426
84017007,Illinois,Boone County,53544
84017009,Illinois,Brown County,6578
84017011,Illinois,Bureau County,32628
84017013,Illinois,Calhoun County,4739
84017015,Illinois,Carroll County,14305
84017017,Illinois,Cass County,12147
84017019,Illinois,Champaign County,209689
84017021,Illinois,Christian County,32304
84017023,Illinois,Clark County,15441
84017025,Illinois,Clay County,13184
84017027,Illinois,Clinton County,37562
84017029,Illinois,Coles County,50621
84017031,Illinois,Cook County,5150233
84017033,Illinois,Crawford County,18667
84017035,Illinois,Cumberland County,10766
84017037,Illinois,DeKalb County,104897
84017039,Illinois,De Witt County,15638
84017041,Illinois,Douglas County,19465
84017043,Illinois,DuPage County,922921
84017045,Illinois,Edgar County,17161
84017047,Illinois,Edwards County,6395
84017049,Illinois,Effingham County,34008
84017051,Illinois,Fayette County,21336
84017053,Illinois,Ford County,12961
84017055,Illinois,Franklin County,38469
84017057,Illinois,Fulton County,34340
84017059,Illinois,Gallatin County,4828
84017061,Illinois,Greene County,12969
84017063,Illinois,Grundy County,51054
84017065,Illinois,Hamilton County,8116
84017067,Illinois,Hancock County,17708
84017069,Illinois,Hardin County,3821
84017071,Illinois,Henderson County,6646
84017073,Illinois,Henry County,48913
84017075,Illinois,Iroquois County,27114
84017077,Illinois,Jackson County,56750
84017079,Illinois,Jasper County,9610
84017081,Illinois,Jefferson County,37684
84017083,Illinois,Jersey County,21773
84017085,Illinois,Jo Daviess County,21235
84017087,Illinois,Johnson County,12417
84017089,Illinois,Kane County,532403
84017091,Illinois,Kankakee County,109862
84017093,Illinois,Kendall County,128990
84017095,Illinois,Knox County,49699
84017097,Illinois,Lake County,696535
84017099,Illinois,LaSalle County,108669
84017101,Illinois,Lawrence County,15678
84017103,Illinois,Lee County,34096
84017105,Illinois,Livingston County,35648
84017107,Illinois,Logan County,28618
84017109,Illinois,McDonough County,29682
84017111,Illinois,McHenry County,307774
84017113,Illinois,McLean County,171517
84017115,Illinois,Macon County,104009
84017117,Illinois,Macoupin County,44926
84017119,Illinois,Madison County,262966
84017121,Illinois,Marion County,37205
84017123,Illinois,Marshall County,11438
84017125,Illinois,Mason County,13359
84017127,Illinois,Massac County,13772
84017129,Illinois,Menard County,12196
84017131,Illinois,Mercer County,15437
84017133,Illinois,Monroe County,34637
84017135,Illinois,Montgomery County,28414
84017137,Illinois,Morgan County,33658
84017139,Illinois,Moultrie County,14501
84017141,Illinois,Ogle County,50643
84017143,Illinois,Peoria County,179179
84017145,Illinois,Perry County,20916
84017147,Illinois,Piatt County,16344
84017149,Illinois,Pike County,15561
84017151,Illinois,Pope County,4177
84017153,Illinois,Pulaski County,5335
84017155,Illinois,Putnam County,5739
84017157,Illinois,Randolph County,31782
84017159,Illinois,Richland County,15513
84017161,Illinois,Rock Island County,141879
84017163,Illinois,St. Clair County,259686
84017165,Illinois,Saline County,23491
84017167,Illinois,Sangamon County,194672
84017169,Illinois,Schuyler County,6768
84017171,Illinois,Scott County,4951
84017173,Illinois,Shelby County,21634
84017175,Illinois,Stark County,5342
84017177,Illinois,Stephenson County,44498
84017179,Illinois,Tazewell County,131803
84017181,Illinois,Union County,16653
84017183,Illinois,Vermilion County,75758
84017185,Illinois,Wabash County,11520
84017187,Illinois,Warren County,16844
84017189,Illinois,Washington County,13887
84017191,Illinois,Wayne County,16215
84017193,Illinois,White County,13537
84017195,Illinois,Whiteside County,55175
84017197,Illinois,Will County,690743
84017199,Illinois,Williamson County,66597
84017201,Illinois,Winnebago County,282572
84017203,Illinois,Woodford County,38459
84018001,Indiana,Adams County,35777
84018003,Indiana,Allen County,379299
84018005,Indiana,Bartholomew County,83779
84018007,Indiana,Benton County,8748
84018009,Indiana,Blackford County,11758
84018011,Indiana,Boone County,67843
84018013,Indiana,Brown County,15092
84018015,Indiana,Carroll County,20257
84018017,Indiana,Cass County,37689
84018019,Indiana,Clark County,118302
84018021,Indiana,Clay County,26225
84018023,Indiana,Clinton County,32399
84018025,Indiana,Crawford County,10577
84018027,Indiana,Daviess County,33351
84018029,Indiana,Dearborn County,49458
84018031,Indiana,Decatur County,26559
84018033,Indiana,DeKalb County,43475
84018035,Indiana,Delaware County,114135
84018037,Indiana,Dubois County,42736
84018039,Indiana,Elkhart County,206341
84018041,Indiana,Fayette County,23102
84018043,Indiana,Floyd County,78522
84018045,Indiana,Fountain County,16346
84018047,Indiana,Franklin County,22758
84018049,Indiana,Fulton County,19974
84018051,Indiana,Gibson County,33659
84018053,Indiana,Grant County,65769
84018055,Indiana,Greene County,31922
84018057,Indiana,Hamilton County,338011
84018059,Indiana,Hancock County,78168
84018061,Indiana,Harrison County,40515
84018063,Indiana,Hendricks County,170311
84018065,Indiana,Henry County,47972
84018067,Indiana,Howard County,82544
84018069,Indiana,Huntington County,36520
84018071,Indiana,Jackson County,44231
84018073,Indiana,Jasper County,33562
84018075,Indiana,Jay County,20436
84018077,Indiana,Jefferson County,32308
84018079,Indiana,Jennings County,27735
84018081,Indiana,Johnson County,158167
84018083,Indiana,Knox County,36594
84018085,Indiana,Kosciusko County,79456
84018087,Indiana,LaGrange County,39614
84018089,Indiana,Lake County,485493
84018091,Indiana,LaPorte County,109888
84018093,Indiana,Lawrence County,45370
84018095,Indiana,Madison County,129569
84018097,Indiana,Marion County,964582
84018099,Indiana,Marshall County,46258
84018101,Indiana,Martin County,10255
84018103,Indiana,Miami County,35516
84018105,Indiana,Monroe County,148431
84018107,Indiana,Montgomery County,38338
84018109,Indiana,Morgan County,70489
84018111,Indiana,Newton County,13984
84018113,Indiana,Noble County,47744
84018115,Indiana,Ohio County,5875
84018117,Indiana,Orange County,19646
84018119,Indiana,Owen County,20799
84018121,Indiana,Parke County,16937
84018123,Indiana,Perry County,19169
84018125,Indiana,Pike County,12389
84018127,Indiana,Porter County,170389
84018129,Indiana,Posey County,25427
84018131,Indiana,Pulaski County,12353
84018133,Indiana,Putnam County,37576
84018135,Indiana,Randolph County,24665
84018137,Indiana,Ripley County,28324
84018139,Indiana,Rush County,16581
84018141,Indiana,St. Joseph County,271826
84018143,Indiana,Scott County,23873
84018145,Indiana,Shelby County,44729
84018147,Indiana,Spencer County,20277
84018149,Indiana,Starke County,22995
84018151,Indiana,Steuben County,34594
84018153,Indiana,Sullivan County,20669
84018155,Indiana,Switzerland County,10751
84018157,Indiana,Tippecanoe County,195732
84018159,Indiana,Tipton County,15148
84018161,Indiana,Union County,7054
84018163,Indiana,Vanderburgh County,181451
84018165,Indiana,Vermillion County,15498
84018167,Indiana,Vigo County,107038
84018169,Indiana,Wabash County,30996
84018171,Indiana,Warren County,8265
84018173,Indiana,Warrick County,62998
84018175,Indiana,Washington County,28036
84018177,Indiana,Wayne County,65884
84018179,Indiana,Wells County,28296
84018181,Indiana,White County,24102
84018183,Indiana,Whitley County,33964
84019001,Iowa,Adair County,7152
84019003,Iowa,Adams County,3602
84019005,Iowa,Allamakee County,13687
84019007,Iowa,Appanoose County,12426
84019009,Iowa,Audubon County,5496
84019011,Iowa,Benton County,25645
84019013,Iowa,Black Hawk County,131228
84019015,Iowa,Boone County,26234
84019017,Iowa,Bremer County,25062
84019019,Iowa,Buchanan County,21175
84019021,Iowa,Buena Vista County,19620
84019023,Iowa,Butler County,14439
84019025,Iowa,Calhoun County,9668
84019027,Iowa,Carroll County,20165
84019029,Iowa,Cass County,12836
84019031,Iowa,Cedar County,18627
84019033,Iowa,Cerro Gordo County,42450
84019035,Iowa,Cherokee County,11235
84019037,Iowa,Chickasaw County,11933
84019039,Iowa,Clarke County,9395
84019041,Iowa,Clay County,16016
84019043,Iowa,Clayton County,17549
84019045,Iowa,Clinton County,46429
84019047,Iowa,Crawford County,16820
84019049,Iowa,Dallas County,93453
84019051,Iowa,Davis County,9000
84019053,Iowa,Decatur County,7870
84019055,Iowa,Delaware County,17011
84019057,Iowa,Des Moines County,38967
84019059,Iowa,Dickinson County,17258
84019061,Iowa,Dubuque County,97311
84019063,Iowa,Emmet County,9208
